px	py	v	yaw	yaw_rate	vx	vy	px_meas	py_meas	x_gt	y_gt	vx_gt	vy_gt	rmse_px	rmse_py	rmse_vx	rmse_vy	nis_lidar	nis_radar
-2.25606	8.32482	5.2127	4.38813	0.155033	-1.66078	-4.94106	-2.65862	8.19477	-2.27474	8.32388	-1.80365	-4.87047	0.0591346	0.0875029	0.460027	0.26385	0.1981	2.982
-2.30674	8.08952	5.18054	4.40715	0.167915	-1.55687	-4.94107	-2.21875	8.15339	-2.3645	8.0802	-1.78726	-4.87778	0.059129	0.0873232	0.459311	0.263333	0.681643	2.982
-2.3732	7.87467	5.1301	4.41367	0.16297	-1.50978	-4.90291	-2.273	8.52315	-2.45348	7.83617	-1.77248	-4.8843	0.0592319	0.0871777	0.458672	0.262792	0.681643	5.47273
-2.4852	7.62408	5.15864	4.40738	0.146645	-1.54915	-4.92054	-2.59674	7.60288	-2.54177	7.59184	-1.75931	-4.89006	0.0592212	0.0870228	0.457926	0.262258	0.763872	5.47273
-2.64616	7.39048	5.16401	4.36848	0.0798482	-1.74116	-4.86162	-3.08256	7.38874	-2.62944	7.34723	-1.74777	-4.89507	0.0591094	0.0868884	0.456987	0.261728	0.763872	5.96777
-2.74957	7.13456	5.1891	4.36714	0.0737483	-1.75614	-4.88291	-2.79865	7.064	-2.71658	7.10238	-1.73786	-4.89933	0.0590263	0.0867353	0.456055	0.261196	0.405519	5.96777
-2.81364	6.89924	5.17441	4.38353	0.0939692	-1.67114	-4.89712	-2.79412	7.20818	-2.80326	6.85734	-1.72958	-4.90286	0.0589099	0.0866	0.455142	0.260665	0.405519	1.54329
-2.85974	6.68787	5.11229	4.39901	0.106002	-1.57599	-4.86331	-2.74651	6.86867	-2.88957	6.61214	-1.72295	-4.90566	0.0588212	0.0865587	0.454316	0.26015	2.47711	1.54329
-2.92844	6.46327	5.05964	4.39514	0.0809961	-1.57838	-4.80715	-2.57673	6.36755	-2.97559	6.36681	-1.71797	-4.90774	0.0587788	0.0866009	0.453486	0.259704	2.47711	4.2274
-2.98406	6.22544	5.04217	4.40774	0.0903449	-1.51245	-4.80999	-2.90217	6.22989	-3.0614	6.12139	-1.71464	-4.90911	0.058865	0.086678	0.452756	0.259258	0.382494	4.2274
-3.10032	5.97951	5.07748	4.39803	0.0763644	-1.57	-4.82866	-3.50172	6.10796	-3.14709	5.87592	-1.71297	-4.90976	0.0588216	0.0867522	0.45194	0.25879	0.382494	3.34296
-3.18111	5.70705	5.11629	4.40393	0.0784351	-1.55325	-4.87482	-3.1778	5.53101	-3.23274	5.63043	-1.71295	-4.9097	0.0587947	0.0867142	0.451151	0.258283	1.62056	3.34296
-3.29026	5.4604	5.12114	4.38515	0.0387706	-1.6461	-4.84937	-3.19736	5.19093	-3.31843	5.38496	-1.71458	-4.90893	0.0587047	0.0866723	0.450276	0.257797	1.62056	2.37656
